,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
101,40.0,33.33,71.6,84.5,83.4,84.0,-11.8,0.5,155.0,168.5,37.2,45.5,44.4,37.0,-7.2,8.5,13,77.13464,89.55702,167.66133,2,0.6172391176223755,Timberwolves
102,40.0,66.67,77.2,86.83,72.6,78.67,4.6,8.17,149.8,165.5,38.8,45.83,40.2,41.67,-1.4,4.17,13,79.932846,82.69142,162.74475,2,0.7751412391662598,Kapfenberg
103,71.43,71.43,88.71,79.57,79.14,74.86,9.57,4.71,167.86,154.43,47.57,40.0,39.57,37.57,8.0,2.43,13,87.50314,80.65191,168.56715,1,0.5345192551612854,Iskra Svit
104,50.0,50.0,78.63,75.0,79.75,75.5,-1.13,-0.5,158.38,150.5,39.63,34.13,38.13,40.75,1.5,-6.63,13,77.93357,78.82659,156.03012,2,0.5000513792037964,Handlova
105,100.0,0.0,92.0,75.0,83.5,87.5,8.5,-12.5,175.5,162.5,50.0,31.0,45.5,49.0,4.5,-18.0,13,93.65809,78.59059,174.31303,1,0.9761641621589661,Antwerp
107,16.67,40.0,74.33,75.0,82.83,87.8,-8.5,-12.8,157.17,162.8,37.67,40.4,42.5,44.4,-4.83,-4.0,13,80.06012,80.346,162.45966,2,0.8146271705627441,Vidzemes
112,33.33,100.0,64.67,79.5,71.67,60.0,-7.0,19.5,136.33,139.5,27.67,44.25,38.67,31.0,-11.0,13.25,13,60.959316,79.29588,139.04407,2,0.92821204662323,Split
113,50.0,25.0,67.5,64.5,64.25,82.5,3.25,-18.0,131.75,147.0,31.75,30.25,29.25,42.75,2.5,-12.5,13,77.37946,63.94544,141.90186,1,0.7166486978530884,Puerto Sagunto
114,33.33,50.0,74.33,79.25,72.67,80.0,1.67,-0.75,147.0,159.25,38.0,41.25,37.33,45.25,0.67,-4.0,13,77.41831,76.487564,152.43744,2,0.6998453140258789,Marbella
115,50.0,50.0,71.0,74.5,77.0,75.5,-6.0,-1.0,148.0,150.0,34.5,35.0,41.0,35.5,-6.5,-0.5,13,73.258316,75.078026,148.4529,2,0.5143644213676453,UDEA
116,50.0,25.0,72.0,68.5,67.5,75.5,4.5,-7.0,139.5,144.0,33.0,36.25,34.5,43.25,-1.5,-7.0,13,76.415306,67.10666,145.99002,1,0.689667820930481,Carbajosa
117,100.0,0.0,81.33,67.25,71.0,89.25,10.33,-22.0,152.33,156.5,40.33,30.75,33.33,45.5,7.0,-14.75,13,87.82143,68.185844,156.99428,1,0.9761641621589661,Circulo Gijon
118,100.0,66.67,85.25,83.0,71.25,76.67,14.0,6.33,156.5,159.67,42.0,42.67,33.25,35.33,8.75,7.33,13,84.3942,75.93423,159.47754,1,0.9393942952156067,Zentro
119,75.0,50.0,86.0,74.75,63.0,74.75,23.0,0.0,149.0,149.5,37.0,34.0,31.5,31.5,5.5,2.5,13,85.484436,64.40966,152.43431,1,0.7493208050727844,Barcelona II
120,75.0,100.0,77.25,83.67,68.25,68.33,9.0,15.33,145.5,152.0,36.5,42.0,38.0,38.0,-1.5,4.0,13,69.667564,75.99017,142.47063,2,0.8198079466819763,Prat
121,87.5,37.5,77.13,65.0,58.75,74.38,18.38,-9.38,135.88,139.38,40.0,33.5,32.0,37.38,8.0,-3.88,13,78.36888,59.43463,138.05403,1,0.8658007383346558,P. Avenida (K)
