,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
82,33.33,28.57,76.17,78.29,74.5,80.43,1.67,-2.14,150.67,158.71,39.67,43.57,33.17,37.86,6.5,5.71,71,79,25,10,13,23,26,18,24,11,Euroleague
83,14.29,33.33,74.0,78.0,75.14,81.0,-1.14,-3.0,149.14,159.0,37.71,38.33,37.14,42.17,0.57,-3.83,84,90,16,21,20,19,15,19,14,28,Euroleague
84,28.57,40.0,81.14,79.8,82.29,81.2,-1.14,-1.4,163.43,161.0,41.0,38.2,40.71,39.0,0.29,-0.8,92,73,25,19,24,24,22,14,11,26,Euroleague
85,28.57,28.57,76.14,73.14,77.14,76.0,-1.0,-2.86,153.29,149.14,37.14,36.14,38.86,38.86,-1.71,-2.71,93,97,15,14,19,20,14,19,23,12,Euroleague
86,100.0,0.0,111.5,105.0,105.0,111.5,6.5,-6.5,216.5,216.5,52.0,50.0,50.0,52.0,2.0,-2.0,116,106,32,23,26,35,35,20,24,27,NBA
87,0.0,100.0,104.5,111.5,111.5,104.5,-7.0,7.0,216.0,216.0,55.5,57.5,57.5,55.5,-2.0,2.0,109,112,30,30,27,22,22,35,28,27,NBA
88,0.0,100.0,92.0,114.0,114.0,92.0,-22.0,22.0,206.0,206.0,53.0,60.0,60.0,53.0,-7.0,7.0,92,114,30,23,19,20,32,28,25,29,NBA
89,0.0,100.0,107.0,120.0,120.0,107.0,-13.0,13.0,227.0,227.0,64.0,56.0,56.0,64.0,8.0,-8.0,112,128,28,41,24,19,32,27,36,33,NBA
90,0.0,100.0,104.5,115.0,115.0,104.5,-10.5,10.5,219.5,219.5,52.0,62.0,62.0,52.0,-10.0,10.0,104,123,22,28,22,32,36,28,32,27,NBA
91,100.0,0.0,115.0,98.5,98.5,115.0,16.5,-16.5,213.5,213.5,55.5,49.5,49.5,55.5,6.0,-6.0,111,92,19,30,38,24,15,33,22,22,NBA
92,20.0,0.0,81.0,74.2,83.2,94.4,-2.2,-20.2,164.2,168.6,41.2,42.8,43.8,45.6,-2.6,-2.8,108,74,19,35,30,24,21,22,15,16,Eurocup
93,60.0,25.0,78.0,76.25,75.4,81.75,2.6,-5.5,153.4,158.0,41.0,39.75,37.8,39.0,3.2,0.75,73,71,21,19,16,17,26,15,18,12,Eurocup
94,75.0,40.0,84.5,79.4,81.0,79.8,3.5,-0.4,165.5,159.2,42.5,37.6,45.75,40.0,-3.25,-2.4,84,77,19,25,20,20,18,24,19,16,Eurocup
95,80.0,0.0,81.8,76.6,76.0,89.6,5.8,-13.0,157.8,166.2,37.8,36.8,39.0,44.4,-1.2,-7.6,86,81,22,22,17,25,21,20,17,23,Eurocup
96,50.0,50.0,90.0,88.0,92.5,90.5,-2.5,-2.5,182.5,178.5,48.5,48.0,47.0,44.0,1.5,4.0,89,104,25,25,21,18,23,26,24,31,Basketball Champions League
97,25.0,33.33,72.25,81.33,82.25,78.33,-10.0,3.0,154.5,159.67,36.25,46.0,40.25,42.33,-4.0,3.67,69,102,21,16,17,15,30,22,22,28,Basketball Champions League
98,100.0,0.0,79.0,70.0,70.0,79.0,9.0,-9.0,149.0,149.0,40.0,43.0,43.0,40.0,-3.0,3.0,79,70,24,16,18,21,17,26,16,11,Basketball Champions League
99,75.0,50.0,73.75,85.5,68.5,85.5,5.25,0.0,142.25,171.0,36.75,41.5,32.0,42.0,4.75,-0.5,71,75,12,22,17,20,17,14,22,22,Basketball Champions League
100,100.0,0.0,69.0,66.0,66.0,69.0,3.0,-3.0,135.0,135.0,34.0,36.0,36.0,34.0,-2.0,2.0,69,66,21,13,23,12,13,23,19,11,Euroleague (W)
101,25.0,25.0,73.25,63.0,79.75,80.75,-6.5,-17.75,153.0,143.75,37.5,30.75,34.0,43.25,3.5,-12.5,80,85,24,20,16,20,25,13,24,23,LNB Pro A
102,0.0,66.67,91.0,93.0,105.67,92.33,-14.67,0.67,196.67,185.33,41.33,45.67,54.67,44.67,-13.33,1.0,93,105,19,30,17,27,26,20,37,22,BBL
103,66.67,50.0,78.0,77.0,72.0,78.5,6.0,-1.5,150.0,155.5,37.67,36.5,35.67,43.5,2.0,-7.0,88,72,21,27,20,20,16,15,18,23,LEB Oro
104,75.0,20.0,92.0,72.2,79.25,85.8,12.75,-13.6,171.25,158.0,50.0,38.2,39.0,42.8,11.0,-4.6,,,,,,,,,,,NBB
105,80.0,0.0,88.6,69.6,74.8,77.8,13.8,-8.2,163.4,147.4,40.2,31.8,32.0,39.0,8.2,-7.2,84,81,22,17,25,20,18,16,22,25,NBB
